Latitude	Longitude	LULC	drainage density	geomorphology	Soil	Slope	Raninfall	Lithology	lineament density
26.1	88.73	12	0.139113	53	3	1.92674	2157.72	19	0.160932
25.79	89.28	14	0	39	3	0.963641	2059.68	21	0.073849
25.79	89.23	14	0.077156	34	3	1.70315	2014.18	21	0.064433
25.79	89.17	14	0.082776	34	3	2.80749	1966.59	21	0.106925
25.65	89.25	14	0.11754	31	3	1.02208	1808.09	21	0.023378
25.59	89.26	14	0.063843	31	3	1.36267	1705.73	21	0.058336
25.71	89.39	14	0.101977	31	3	2.59315	1893.21	21	0.016184
26.07	88.27	12	0.078459	57	3	4.43371	1658.74	19	0.086972
26.15	88.32	12	0.061932	64	3	1.73686	2170.77	19	0.041007
25.92	88.46	14	0.102091	49	3	2.07168	2011.08	19	0.076008
25.79	88.32	14	0.087808	41	3	0.761852	1984.43	19	0.225814
25.97	88.31	12	0.068301	50	3	3.75809	1886.75	19	0.046169
25.95	88.25	14	0.102024	49	3	1.40459	1869.92	19	0.1895
26.1	88.49	14	0.147009	56	3	3.80388	2285.74	19	0.052911
26.17	88.41	12	0.065769	68	3	3.80388	2368.24	19	0.079464
26.19	88.48	14	0.053334	66	3	3.66477	2367.86	19	0.070608
26.06	88.52	12	0.062031	58	3	0.681429	2211.49	19	0.03912
26.06	88.46	14	0.170214	55	3	4.56172	2276.27	19	0.044953
24.52	88.85	14	0.134904	18	3	2.07168	1372.9	9	0.168576
24.63	88.76	19	0.107533	15	3	2.88874	1384.78	3	0.577064
24.34	88.77	14	0	18	3	1.22833	1370.38	9	0.007798
24.33	88.78	14	0	17	3	4.4725	1371.63	9	0.007798
24.29	88.84	14	0	21	3	0.761852	1357.62	9	0.009474
24.28	88.8	14	0.006769	20	3	4.53641	1370.52	9	0.083648
24.49	88.71	14	0.038702	15	3	0.963641	1369	9	0.10621
24.4	88.43	14	0.12857	22	3	1.36267	1245.45	15	0.248565
24.43	88.46	12	0.083018	22	3	1.07736	1260.54	2	0.084696
24.54	88.46	12	0.037378	36	3	2.18069	1351.64	2	0.010289
24.43	88.7	14	0.077519	23	3	2.15395	1362.54	6	0.050549
24.42	88.61	14	0	20	3	0.963641	1331.19	9	0.073165
24.38	88.68	14	0.083842	19	3	1.73686	1361.87	9	0.142569
24.38	88.68	14	0.083842	19	3	1.73686	1361.87	9	0.142569
24.81	89	14	0.143209	16	3	1.02208	1411.75	2	0.18345
24.11	89.33	14	0.169961	15	3	1.70315	1396.38	9	0.035947
24.16	89.22	19	0.08424	15	3	1.40459	1538.3	9	0.00904
23.87	89.64	14	0.207536	17	3	2.15395	1289.54	15	0.430741
24.14	89.09	14	0	16	3	1.22833	1365.78	9	0.079528
24.12	89.04	14	0.089001	17	3	0.761852	1375.82	15	0.284627
24.03	89.07	14	0.189241	15	3	1.36267	1382.77	15	0.28797
23.98	89.39	14	0.064492	12	3	1.40459	1324.39	9	0.12348
24.01	89.29	14	0	13	3	1.22833	1303.16	9	0.081996
26.54	88.39	14	0.133586	94	3	0.481854	3074.09	19	0.205112
26.47	88.5	12	0.219782	90	3	0.681429	2492.53	19	0.125779
25.68	89.07	14	0.224059	36	3	2.28448	1751.07	21	0.01939
25.56	89.33	14	0.092493	29	3	2.28448	1696.69	21	0.052315
25.45	89.35	14	0.051415	27	3	1.44529	1806.71	21	0.087614
25.46	89.27	14	0.099945	27	3	1.36267	1678.06	21	0.04411
25.75	89.02	14	0.198033	36	3	1.36267	1824.3	21	0.008214
24.39	89.66	14	0.063422	15	3	1.07736	1507.67	9	0.046435
24.52	89.54	14	0.110244	15	3	2.07168	1370.87	9	0
24.47	89.5	14	0.10436	12	3	1.70315	1331.54	9	0
24.47	89.59	14	0.012658	14	3	0.340727	1331.16	9	0.010817
24.14	89.67	14	0.000038	16	3	3.04472	1236.81	9	0.289499
24.58	89.66	14	0.134981	16	3	1.52343	1416.47	9	0.440992
24.49	89.66	14	0.040273	15	3	0	1382.5	9	0.116549
24.53	89.68	14	0.134308	25	3	2.9087	1414.73	9	0.446064
25.88	88.24	14	0.115485	48	3	0.340727	1982.68	19	0.160401
26.15	88.55	12	0.017158	66	3	1.98599	2269.41	19	0.067108
26.1	88.54	12	0.021149	64	3	1.83426	2236.34	19	0.081204
26.08	88.37	12	0.004215	61	3	2.28448	2179.06	19	0.055951
26.15	88.47	14	0.088773	66	3	1.83426	2322.14	19	0.056213
26.01	88.5	12	0.125237	58	3	1.22833	2164.86	19	0.05175
24.51	89.38	14	0	15	3	4.57432	1224.3	2	0
24.45	89.4	14	0.07354	12	3	0	1036.95	6	0.000552
24.34	89.59	14	0.092798	16	3	0.963641	1331.31	9	0.09113
24.37	89.53	14	0.09369	14	3	1.98599	1319.08	9	0.181026
26.11	88.28	12	0.04165	52	3	1.40459	1886.7	19	0.06296
25.84	88.16	14	0.140621	40	3	1.07736	2024.25	19	0.45793
25.93	88.17	14	0.060033	45	3	1.44529	1959.45	19	0.308405
25.88	88.14	14	0.116245	44	3	2.74496	2019.23	19	0.391048
25.84	88.33	12	0.070057	42	3	2.59315	1982	19	0.200025
25.92	88.46	14	0.102091	49	3	2.07168	2011.08	19	0.076008
25.23	89.01	14	0.076374	23	3	2.65928	1460.42	9	0
25.8	89.7	14	0.19704	25	3	1.44529	1936.83	21	0.5028
25.85	89.68	14	0.10052	32	3	2.07168	1998.08	21	0.362587
25.02	88.95	14	0.094581	21	3	1.92674	1433.09	9	0.035945
24.92	88.96	14	0.129213	16	3	1.22833	1370.83	9	0.293319
24.97	88.97	14	0.019205	21	3	2.07168	1421.54	9	0.106377
25.14	88.92	14	0.155697	22	3	2.92852	1462.78	9	0.030272
24.9	88.73	14	0.031615	20	3	1.98599	1412.5	9	0.032591
24.85	88.75	14	0.028911	17	3	0.481854	1428.64	2	0.048773
24.9	88.9	14	0.123774	20	3	1.22833	1299.61	2	0.103151
24.84	88.9	14	0.212109	15	3	1.44529	1347.64	3	0.076829
24.73	89.03	14	0.177269	18	3	1.83426	1374.8	9	0.093039
24.17	88.96	12	0.139018	13	3	3.98173	1359.5	15	0.323404
24.25	88.99	14	0.108481	15	3	1.22833	1410.21	9	0
24.18	88.98	14	0.136172	18	3	2.74496	1377.87	15	0.205648
24.21	89	14	0.114489	20	3	1.70315	1399.62	9	0.032133
24.53	89.2	14	0.182281	17	3	3.96721	1449.55	6	0.079281
24.85	88.27	12	0.259708	28	3	1.70315	1325.56	9	0.32616
24.73	88.3	12	0.207307	20	3	1.36267	1353.26	3	0.158552
24.56	88.16	12	0.125702	15	3	3.87899	1312.84	15	0.530702
24.49	88.23	14	0.09715	25	3	1.70315	1296.76	15	0.353691
24.59	88.27	12	0.265617	26	3	1.40459	1301.3	9	0.465678
24.51	88.27	14	0.181973	23	3	1.36267	1292.12	15	0.417371
24.84	88.19	14	0.101257	25	3	0.761852	1327.72	9	0.24946
24.64	88.18	14	0.099787	30	3	2.40791	1319.29	9	0.341481
24.61	88.13	12	0.098061	20	3	2.18069	1319.99	15	0.723474
24.76	88.22	12	0.160427	24	3	1.70315	1332.9	9	0.074608
24.76	88.12	14	0.133982	22	3	4.43371	1329.58	9	0.160261
26.14	88.87	14	0.191748	55	3	1.70315	2099.24	21	0.01598
25.78	88.91	12	0.099089	43	3	1.83426	1828.39	21	0.062658
24.93	89.39	14	0.071225	18	3	1.70315	1573.08	6	0.09392
24.86	89.41	14	0.079133	20	3	3.4033	1542.98	6	0.030022
24.74	89.58	14	0.136464	13	3	2.74496	1538.48	9	0.1339
24.87	89.45	14	0.113572	23	3	1.40459	1550.04	6	0.047974
24.94	89.57	19	0.23201	14	3	0	1522.4	9	0.417657
25.4	88.93	14	0.062446	27	3	1.70315	1502.01	9	0
26.04	88.65	12	0.205806	53	3	2.65928	2184.66	19	0.062593
25.95	88.67	14	0.124362	51	3	1.70315	2334.46	19	0.097568
26.01	88.62	14	0.08349	58	3	2.28448	2180.19	19	0.048821
25.65	88.56	14	0.106724	35	3	1.36267	1931.33	2	0.047027
25.7	88.52	14	0.084448	37	3	4.80734	1931.1	19	0.138179
25.59	88.54	14	0.119393	37	3	2.74496	1868.69	2	0.048194
25.79	88.5	14	0.051187	42	3	2.15395	1934.81	19	0.024699
25.7	88.78	14	0.109968	40	3	3.04472	1831.87	21	0.017946
25.61	88.79	14	0.115553	41	3	2.88874	1731.9	21	0.010008
25.46	88.88	14	0.017017	31	3	3.22903	1497.31	2	0.024746
25.48	88.93	14	0	34	3	3.80388	1483.89	21	0.011263
25.29	89.07	14	0.145111	25	3	2.80749	1432.74	2	0
25.82	88.6	14	0.144493	42	3	2.38374	1728.21	19	0.038287
25.85	88.56	14	0.064319	47	3	2.40791	1892.99	19	0.095672
25.57	88.67	14	0.173197	37	3	0.340727	1822.51	2	0
25.62	88.7	12	0.103381	35	3	1.52343	1870.71	21	0.034881
25.52	88.68	14	0.108455	30	3	0.340727	1732.09	2	0
25.75	88.71	14	0.205741	43	3	0.481854	1853.15	21	0.048086
25.54	88.73	14	0.089566	34	3	1.83426	1735.5	2	0.033592
25.58	88.7	12	0.110234	35	3	1.22833	1808.15	2	0
25.54	88.63	14	0.213924	36	3	1.52343	1806.03	2	0
25.65	88.69	14	0.12857	38	3	0	1901.16	21	0.046447
25.42	89.07	14	0.033621	37	3	3.42023	1532.63	2	0.054082
25.59	88.9	14	0.101856	32	3	1.83426	1500.68	2	0.034822
25.32	89.48	14	0.116862	24	3	3.13824	1715.05	9	0
25.39	89.47	14	0.143052	22	3	0.340727	1759.65	21	0
25.13	89.56	14	0.146129	23	3	3.22903	1598.86	9	0.278053
25.47	89.46	14	0.210166	22	3	1.98599	1811.82	21	0
25.41	89.43	14	0.165844	28	3	1.07736	1802.49	21	0
25.13	88.98	14	0.111596	22	3	0.340727	1532.85	9	0.008291
24.58	88.41	12	0	37	2	2.07168	1389.49	2	0
24.63	88.68	14	0.2318	21	2	0.761852	1404.1	3	0.56078
24.68	88.53	14	0.065875	23	2	2.9087	1441	2	0.053166
24.57	88.55	14	0.053417	26	2	1.07736	1389.65	2	0.169389
24.63	88.58	14	0.154497	22	2	1.52343	1407.28	2	0.359752
24.62	88.54	14	0.090926	21	2	0.481854	1419.08	2	0.143815
24.81	89.08	14	0.111257	20	2	2.15395	1452.45	2	0.07458
24.77	89.12	14	0.180889	16	2	2.18069	1446.5	2	0.103872
24.89	89.15	14	0.129087	21	2	3.35198	1471.28	2	0.054657
24.86	89.25	14	0.126518	18	2	2.59315	1496.18	2	0.044017
25.02	89.15	14	0.044426	23	2	1.70315	1591.42	2	0.222251
24.98	89.12	12	0.069275	25	2	2.18069	1578.37	2	0.303927
25.17	88.74	14	0.155672	23	2	1.02208	1384.55	2	0.131376
25.18	88.85	14	0.121812	27	2	2.40791	1417.86	9	0.048946
25.07	88.87	14	0.190052	18	2	0.681429	1406.4	2	0.067522
24.88	88.81	14	0.197727	18	2	2.07168	1381.19	2	0.008218
24.94	88.69	14	0.106455	26	2	4.13796	1420.88	2	0.085266
25.05	88.64	14	0.094177	20	2	1.22833	1418.59	2	0.029333
25.04	88.72	14	0.024883	23	2	2.40791	1372.09	2	0.072583
25.02	88.67	14	0.114165	21	2	0.963641	1402.15	2	0.029333
25.16	88.62	12	0	45	2	2.45554	1424	2	0.038261
25.03	88.81	14	0.053192	26	2	2.65928	1368.33	2	0
25.01	88.54	12	0.050613	37	2	3.98173	1351.85	2	0
25.1	88.57	12	0	37	2	0.761852	1431.57	2	0.00285
25.05	88.58	12	0.043944	30	2	1.92674	1421.8	2	0.027841
24.8	88.3	14	0.128613	25	2	1.07736	1340.46	9	0.17889
24.68	88.43	14	0	37	2	2.92852	1456.13	2	0
24.71	88.38	14	0	33	2	5.44587	1411.54	2	0.011125
24.8	88.39	14	0	42	2	4.09595	1398.08	2	0.010503
24.66	88.34	14	0.145823	32	2	2.80749	1364.09	2	0.110178
25.82	88.45	14	0.091356	42	2	0.681429	1946.9	19	0.045302
25.77	89.63	14	0.169028	26	2	1.22833	1951.92	21	0.101217
26.34	88.73	14	0.107497	72	2	1.73686	2218.32	21	0.068214
24.62	88.8	12	0.087577	14	2	1.92674	1378.51	3	0.530091
24.49	88.46	14	0.047596	34	2	0.481854	1279.58	2	0.035599
24.42	88.83	14	0.003656	15	2	0.761852	1388.38	6	0.007818
24.49	88.88	19	0.144828	16	2	0.761852	1402.01	9	0.14176
24.89	89.34	14	0	18	2	2.47901	1553.01	2	0.069997
24.2	89.65	14	0.108183	10	2	3.50366	1185.09	9	0.1279
24.33	89.45	19	0.106286	9	2	0.963641	1293.93	9	0.367737
24.31	89.51	14	0.170228	9	2	1.07736	1279.59	9	0.285687
25.21	89.14	14	0.184781	25	2	1.36267	1369.07	2	0.045424
24.84	88.67	14	0.122899	20	2	2.74496	1597.83	9	0.14609
25.1	88.72	14	0.069724	23	2	1.02208	1369.64	2	0.132357
25.02	88.45	14	0.269796	22	2	2.9087	1228.54	2	0.093206
25.13	88.51	14	0.099028	22	2	1.70315	1393.59	2	0.150502
24.39	89.19	14	0.050578	12	2	1.98599	1611.51	9	0.228995
24.61	89.2	14	0.049322	15	2	1.07736	1470.78	2	0
24.86	88.44	14	0	48	2	1.83426	1343.92	2	0
24.79	89.36	14	0	19	2	1.22833	1520.65	2	0.015092
24.82	89.51	14	0.12128	18	2	1.02208	1541.08	6	0.009017
24.96	89.43	14	0.148951	18	2	0.761852	1559.88	6	0.129657
24.71	89.22	14	0	17	2	0.761852	1460.53	2	0
24.62	89.39	14	0.061391	20	2	2.45554	1492.83	2	0.008026
24.68	89.38	14	0.048613	22	2	1.07736	1497.1	2	0.044094
25.06	89.32	14	0.173606	24	2	3.08247	1542.13	9	0.035143
25.29	89.23	14	0.114308	27	2	2.18069	737.564	2	0.066875
25.69	88.91	14	0.149206	37	2	5.47737	1771	2	0.071247
25.13	89.06	14	0.044289	22	2	1.40459	1541.79	2	0.146062
25.12	89.12	14	0.156749	26	2	1.36267	1503.68	2	0.260546
25.23	89.07	14	0.11387	24	2	2.72379	1441.97	2	0
24.58	88.63	14	0.144466	20	1	2.80749	1383.25	3	0.413331
24.93	88.41	14	0.182516	23	1	0	1287.22	2	0.128043
25.01	89.49	14	0.20626	15	1	0.681429	1557.47	9	0.051572
24.43	88.6	14	0.04787	16	1	1.22833	1318.49	9	0.093613
23.92	89.64	14	0.283392	11	1	1.73686	1274.27	9	0.477807
24.27	89.29	19	0.145975	10	1	0.761852	1343.86	9	0.390764
24.08	89.23	14	0.003956	13	1	1.70315	1409.15	9	0.017597
24.01	89.35	14	0.025023	9	1	1.70315	1321.22	9	0.025605
23.88	89.51	19	0.153103	7	1	0.963641	1304.5	9	0.277869
23.94	89.45	14	0.100194	11	1	1.70315	1307.25	9	0.147394
23.86	89.56	14	0.107633	9	1	0.761852	1302.08	9	0.41518
23.93	89.52	14	0.096422	13	1	2.74496	1302.69	9	0.277105
25.68	89.59	14	0.056171	26	1	1.98599	1852.52	21	0.043469
24.66	88.89	19	0.192237	16	1	2.59315	1346.06	3	0.493442
