FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data,validation point raw data
253,Point,GT7066013,smtmblwSL,24.68,88.3,NAW013,RJ074,6,27,2,27,8,10,26,9,1,22.0468
11,Point,GT1006001,alwsblwSL,24.81,89.08,BOG001,BO010,11,27,2,27,3,6,44,26,1,25.7061
144,Point,GT8134017,smtmblwSL,24.4,88.43,RAJ017,RJ080,30,41,2,27,18,10,26,26,1,44.2129
174,Point,GT7683033,smtmblwSL,23.93,89.52,PAB033,PA036,6,27,2,27,8,10,44,26,1,42.5356
7,Point,GT8194046,alwsblwSL,24.68,88.53,RAJ046,RJ039,11,27,2,27,3,6,26,46,1,13.4463
26,Point,GT6475036,alwsblwSL,25.05,88.64,NAO036,RJ010,11,41,2,27,3,6,44,26,1,37.4641
33,Point,GT6486051,alwsblwSL,25.1,88.57,NAO051,RJ006,11,41,2,14,3,6,26,46,1,43.127
147,Point,GT8134027,smtmblwSL,24.54,88.46,RAJ027,RJ123,30,27,2,14,3,6,26,46,1,21.695
266,Point,GT7385027,smtmblwSL,25.78,88.91,NIL027,RA-29,30,41,5,14,34,6,16,26,1,45.2145
261,Point,GT7088023,smtmblwSL,24.61,88.13,NAW023,RJ106,30,27,2,14,18,42,44,26,1,27.5292
250,Point,GT7037001,smtmblwSL,24.86,88.44,NAW001,RJ016,11,41,2,27,3,6,16,46,1,23.9154
37,Point,GT7037005,alwsblwSL,24.8,88.3,NAW005,RJ087,11,41,2,27,8,10,26,26,1,24.4086
145,Point,GT8134021,smtmblwSL,24.49,88.46,RAJ021,RJ093,11,41,2,27,3,6,26,46,1,17.0863
13,Point,GT1033009,alwsblwSL,24.89,89.15,BOG009,BO011,11,27,2,27,3,6,26,26,1,42.9509
12,Point,GT1006003,alwsblwSL,24.77,89.12,BOG003,BO030,11,27,2,27,3,6,44,15,1,16.3635
0,Point,GT8134016,alwsblwSL,24.58,88.41,RAJ016,RJ042,11,27,2,14,3,6,26,46,1,31.9122
4,Point,GT8153030,alwsblwSL,24.63,88.68,RAJ030,RJ023,11,41,2,27,4,26,26,9,1,35.9774
8,Point,GT8194048,alwsblwSL,24.57,88.55,RAJ048,RJ086,11,41,2,27,3,10,26,46,1,23.3022
38,Point,GT7056006,alwsblwSL,24.68,88.43,NAW006,RJ041,11,27,2,27,3,6,26,46,1,20.5885
146,Point,GT8134022,smtmblwSL,24.43,88.46,RAJ022,RJ104,30,41,2,14,3,6,26,26,1,30.6815
226,Point,GT6428008,smtmblwSL,25.14,88.92,NAO008,RJ003,30,27,2,27,8,6,26,15,2,60.7542
240,Point,GT6941005,smtmblwSL,24.42,89.25,NAT005,RJ089,6,41,2,27,8,10,44,9,2,63.8617
304,Point,GT2764038,smtmblwSL,25.54,88.63,DIN038,DI084,30,41,5,27,3,6,26,9,2,80.9889
204,Point,GT8889023,smtmblwSL,24.45,89.4,SIR023,PA058,30,41,2,27,6,6,44,26,2,76.979
215,Point,GT3874007,smtmblwSL,25.21,89.14,JOY007,BO022,11,41,2,27,3,6,26,15,2,69.2917
220,Point,GT6403001,smtmblwSL,24.66,88.89,NAO001,RJ024,6,27,2,53,4,16,44,15,2,78.9077
316,Point,GT3847003,smtmblwSL,25.12,89.12,JOY003,BO034,11,41,3,27,3,10,26,15,2,57.5086
243,Point,GT6944009,smtmblwSL,24.18,88.98,NAT009,RJ131,30,27,2,27,18,10,44,26,2,59.0863
306,Point,GT2769040,smtmblwSL,25.42,89.07,DIN040,DI065,30,27,3,27,3,6,26,46,2,88.2436
241,Point,GT6944006,smtmblwSL,24.17,88.96,NAT006,RJ035,30,27,2,14,18,10,44,26,2,60.1933
162,Point,GT7622013,smtmblwSL,24.27,89.29,PAB013,PA009,6,41,2,53,8,16,44,15,2,66.4431
242,Point,GT6944007,smtmblwSL,24.25,88.99,NAT007,RJ101,30,41,2,27,8,6,44,26,2,63.7949
25,Point,GT6450018,alwsblwSL,24.94,88.69,NAO018,RJ058,11,15,2,27,3,6,26,26,2,50.4927
14,Point,GT1054013,alwsblwSL,24.86,89.25,BOG013,BO009,11,27,2,27,3,6,44,26,2,56.6939
248,Point,GT6991015,smtmblwSL,24.47,89.14,NAT015,RJ090,6,27,2,27,8,6,44,15,2,58.1733
303,Point,GT2764037,smtmblwSL,25.58,88.7,DIN037,DI075,30,41,5,14,3,6,26,26,2,81.9978
166,Point,GT7639020,smtmblwSL,24.03,89.07,PAB020,PA032,30,41,2,27,18,10,44,15,2,59.9596
171,Point,GT7683030,smtmblwSL,23.88,89.51,PAB030,PA008,6,41,2,53,8,10,44,15,2,79.0064
141,Point,GT8125011,smtmblwSL,24.29,88.84,RAJ011,RJ102,30,41,2,27,8,6,26,46,2,80.2938
152,Point,GT8172038,smtmblwSL,24.43,88.6,RAJ038,RJ095,6,41,2,27,8,6,44,46,2,54.6446
245,Point,GT6963012,smtmblwSL,24.53,88.99,NAT012,RJ071,6,41,2,53,8,10,44,26,2,66.1887
136,Point,GT8112001,smtmblwSL,24.52,88.85,RAJ001,RJ029,30,27,2,27,8,10,44,26,2,65.0491
249,Point,GT6991016,smtmblwSL,24.53,89.2,NAT016,RJ139,30,27,2,27,6,6,44,15,2,60.1864
22,Point,GT6428011,alwsblwSL,25.07,88.87,NAO011,RJ053,11,41,2,27,3,6,44,15,2,53.3427
231,Point,GT6460026,smtmblwSL,24.9,88.9,NAO026,RJ061,30,41,2,27,3,6,44,26,2,84.1913
188,Point,GT8861010,smtmblwSL,24.47,89.5,SIR010,PA045,30,41,2,27,8,6,44,26,3,112.469
286,Point,GT2717008,smtmblwSL,25.65,88.56,DIN008,DI025,30,41,5,27,3,6,26,26,3,179.35
308,Point,GT2777043,smtmblwSL,25.69,88.91,DIN043,DI077,11,15,3,27,3,6,26,15,3,105.426
84,Point,GT7312004,nvblwSL,26.13,89.03,NIL004,RA-10,30,41,8,27,34,10,16,15,3,128.831
208,Point,GT8894027,smtmblwSL,24.37,89.53,SIR027,PA025,30,41,2,27,8,10,44,26,3,112.398
93,Point,GT7336016,nvblwSL,26.0,89.06,NIL016,RA-16,30,41,5,27,34,10,16,26,3,184.276
192,Point,GT8878015,smtmblwSL,24.58,89.66,SIR015,PA027,30,41,2,27,8,16,44,26,3,154.216
270,Point,GT1020007,smtmblwSL,24.86,89.41,BOG007,BO028,30,27,3,27,6,6,44,26,3,163.747
291,Point,GT2730016,smtmblwSL,25.61,88.79,DIN016,DI055,30,27,3,27,34,6,16,26,3,121.996
172,Point,GT7683031,smtmblwSL,23.94,89.45,PAB031,PA019,6,41,2,27,8,6,44,26,3,133.016
293,Point,GT2738018,smtmblwSL,25.48,88.93,DIN018,DI067,30,27,2,27,34,6,26,46,3,101.413
23,Point,GT6450015,alwsblwSL,24.88,88.81,NAO015,RJ018,11,27,2,27,3,6,44,15,3,130.45
86,Point,GT7312006,nvblwSL,26.17,88.99,NIL006,RA-21,30,41,8,27,34,10,16,26,3,199.298
207,Point,GT8894026,smtmblwSL,24.34,89.59,SIR026,PA024,30,41,2,27,8,6,44,26,3,123.839
268,Point,GT1020005,smtmblwSL,24.93,89.39,BOG005,BO017,30,41,3,27,6,6,44,26,3,129.176
206,Point,GT8894025,smtmblwSL,24.31,89.51,SIR025,PA023,11,41,2,27,8,10,44,15,3,105.308
139,Point,GT8125006,smtmblwSL,24.34,88.77,RAJ006,RJ034,30,41,2,27,8,6,44,46,3,102.522
92,Point,GT7315014,nvblwSL,26.17,88.87,NIL014,RA-79,30,27,5,27,34,6,16,15,4,226.889
46,Point,GT2721011,nvblwSL,25.82,88.45,DIN011,DI047,11,41,5,27,28,6,16,26,4,266.579
75,Point,GT5255009,nvblwSL,25.94,89.49,LAL009,RA-32,30,41,5,27,34,10,26,15,4,246.833
94,Point,GT7336017,nvblwSL,26.1,88.92,NIL017,RA-19,30,41,8,27,34,6,16,15,4,234.767
310,Point,GT3282010,smtmblwSL,25.39,89.47,GAI010,RA-55,30,41,3,27,34,6,26,15,4,279.118
66,Point,GT4961007,nvblwSL,25.91,89.71,KUR007,RA-62,30,41,5,27,34,10,26,15,4,239.802
182,Point,GT8558010,smtmblwSL,25.56,89.33,RAN010,RA-61,30,27,3,27,34,6,26,26,4,264.077
184,Point,GT8576013,smtmblwSL,25.46,89.27,RAN013,RA-59,30,41,3,27,34,6,26,26,4,225.299
71,Point,GT5239005,nvblwSL,26.03,89.18,LAL005,RA-26,30,41,5,27,34,10,16,26,4,262.453
76,Point,GT5255010,nvblwSL,25.8,89.44,LAL010,RA-33,30,41,5,27,34,10,26,26,4,299.583
289,Point,GT2721502,smtmblwSL,25.79,88.5,DIN502,DIS06,30,27,5,27,28,6,16,46,4,272.085
116,Point,GT7790021,nvblwSL,26.59,88.41,PAN021,DI070,53,41,25,14,28,6,4,15,4,278.844
281,Point,GT1095027,smtmblwSL,25.01,89.54,BOG027,BO005,6,27,3,27,8,10,44,9,4,207.051
313,Point,GT3282013,smtmblwSL,25.41,89.43,GAI013,RA-77,30,41,5,27,34,6,26,15,4,274.567
56,Point,GT3230005,nvblwSL,25.21,89.38,GAI005,RA-73,30,15,3,27,34,6,26,15,4,232.302
83,Point,GT7312003,nvblwSL,26.13,88.91,NIL003,RA-09,30,27,8,14,34,6,16,15,4,218.861
62,Point,GT3291017,nvblwSL,25.55,89.46,GAI017,RA-35,30,41,5,27,34,6,26,26,4,227.785
52,Point,GT2760029,nvblwSL,25.9,88.78,DIN029,DI088,30,41,5,27,34,6,16,26,4,242.703
88,Point,GT7315009,nvblwSL,26.22,88.84,NIL009,RA-08,30,27,5,27,34,6,10,46,4,234.67
85,Point,GT7312005,nvblwSL,26.12,89.04,NIL005,RA-11,30,27,8,27,34,10,16,15,4,252.328
213,Point,GT9482008,smtmblwSL,25.84,88.33,THA008,DI050,30,27,5,14,28,10,16,46,4,274.377
201,Point,GT9494027,smtmblwSL,26.01,88.5,THA027,DI074,30,41,8,14,28,6,16,26,4,255.203
284,Point,GT2712003,smtmblwSL,25.95,88.67,DIN003,DI037,30,41,8,27,28,6,16,26,4,226.635
134,Point,GT9494028,nvblwSL,26.06,88.52,THA028,DI078,30,41,8,14,28,6,16,46,4,252.06
283,Point,GT2712002,smtmblwSL,26.04,88.65,DIN002,DI020,30,27,8,14,28,6,16,15,4,271.646
81,Point,GT7312001,nvblwSL,26.06,88.82,NIL001,RA-03,30,41,5,27,34,6,16,46,4,210.557
89,Point,GT7315010,nvblwSL,26.11,88.84,NIL010,RA-13,30,27,8,27,34,6,16,26,4,205.92
197,Point,GT9494019,smtmblwSL,26.1,88.54,THA019,DI019,30,41,8,14,28,6,10,46,4,281.387
77,Point,GT5255011,nvblwSL,25.84,89.52,LAL011,RA-70,30,41,5,27,34,6,26,46,4,204.321
285,Point,GT2712004,smtmblwSL,26.01,88.62,DIN004,DI038,30,27,8,27,28,6,16,26,5,306.939
82,Point,GT7312002,nvblwSL,26.23,88.95,NIL002,RA-06,30,41,5,27,18,16,16,26,5,310.247
123,Point,GT8573011,nvblwSL,25.71,89.39,RAN011,RA-34,30,27,5,27,34,6,26,26,5,337.758
179,Point,GT7790022,smtmblwSL,26.54,88.39,PAN022,DI071,30,41,25,27,28,10,4,26,5,335.306
103,Point,GT7704003,nvblwSL,26.25,88.42,PAN003,DI009,30,27,25,27,28,6,10,46,5,364.353
104,Point,GT7704501,nvblwSL,26.34,88.45,PAN501,DIS08,30,27,14,14,28,6,10,26,5,334.075
118,Point,GT8549005,nvblwSL,25.79,89.28,RAN005,RA-27,30,41,5,27,34,6,26,46,5,313.759
131,Point,GT9494017,nvblwSL,26.1,88.49,THA017,DI017,30,27,8,27,28,6,16,15,5,338.275
