FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data,validation point raw data
258,Point,GT7088020,smtmblwSL,24.84,88.19,NAW020,RJ076,30,41,2,27,8,10,26,26,1,29.8323
259,Point,GT7088021,smtmblwSL,24.68,88.22,NAW021,RJ078,6,41,2,14,6,6,44,26,1,27.0271
1,Point,GT8134018,alwsblwSL,24.43,88.49,RAJ018,RJ081,30,27,2,27,3,6,26,26,1,32.5228
250,Point,GT7037001,smtmblwSL,24.86,88.44,NAW001,RJ016,11,41,2,27,3,6,16,46,1,23.9154
36,Point,GT7037003,alwsblwSL,24.93,88.41,NAW003,RJ048,6,41,2,27,3,6,26,15,1,15.5364
2,Point,GT8134019,alwsblwSL,24.51,88.32,RAJ019,RJ091,30,41,2,14,3,10,26,26,1,26.0404
314,Point,GT3847001,smtmblwSL,25.13,89.06,JOY001,BO007,11,41,3,27,3,6,26,46,1,19.6393
144,Point,GT8134017,smtmblwSL,24.4,88.43,RAJ017,RJ080,30,41,2,27,18,10,26,26,1,44.2129
29,Point,GT6475039,alwsblwSL,25.16,88.62,NAO039,RJ051,11,27,2,14,3,6,16,46,1,43.4586
147,Point,GT8134027,smtmblwSL,24.54,88.46,RAJ027,RJ123,30,27,2,14,3,6,26,46,1,21.695
6,Point,GT8172033,alwsblwSL,24.49,88.58,RAJ033,RJ037,53,41,2,27,8,6,26,15,1,44.0364
32,Point,GT6485047,alwsblwSL,24.69,89.07,NAO047,RJ022,30,27,2,27,3,6,44,46,1,39.1403
28,Point,GT6475038,alwsblwSL,25.02,88.67,NAO038,RJ013,11,41,2,27,3,6,26,26,1,42.3948
9,Point,GT8194049,alwsblwSL,24.63,88.58,RAJ049,RJ136,11,41,2,27,3,16,26,15,1,12.9655
216,Point,GT3874008,smtmblwSL,25.23,89.01,JOY008,BO032,30,27,2,27,8,6,26,26,1,38.3941
252,Point,GT7056010,smtmblwSL,24.73,88.3,NAW010,RJ073,30,41,2,14,4,6,44,15,1,20.789
315,Point,GT3847002,smtmblwSL,25.13,88.98,JOY002,BO023,30,41,3,27,8,6,26,26,1,42.8086
26,Point,GT6475036,alwsblwSL,25.05,88.64,NAO036,RJ010,11,41,2,27,3,6,44,26,1,37.4641
12,Point,GT1006003,alwsblwSL,24.77,89.12,BOG003,BO030,11,27,2,27,3,6,44,15,1,16.3635
7,Point,GT8194046,alwsblwSL,24.68,88.53,RAJ046,RJ039,11,27,2,27,3,6,26,46,1,13.4463
220,Point,GT6403001,smtmblwSL,24.66,88.89,NAO001,RJ024,6,27,2,53,4,16,44,15,2,78.9077
136,Point,GT8112001,smtmblwSL,24.52,88.85,RAJ001,RJ029,30,27,2,27,8,10,44,26,2,65.0491
228,Point,GT6450016,smtmblwSL,24.9,88.73,NAO016,RJ056,30,41,2,27,8,6,44,46,2,72.8068
267,Point,GT7605001,smtmblwSL,24.13,89.27,PAB001,PA006,6,27,2,27,8,6,44,15,2,64.159
20,Point,GT6428009,alwsblwSL,25.09,88.92,NAO009,RJ005,30,27,2,27,8,6,26,15,2,53.341
237,Point,GT6915002,smtmblwSL,24.25,89.21,NAT002,RJ082,6,41,3,27,8,10,44,15,2,64.4687
141,Point,GT8125011,smtmblwSL,24.29,88.84,RAJ011,RJ102,30,41,2,27,8,6,26,46,2,80.2938
304,Point,GT2764038,smtmblwSL,25.54,88.63,DIN038,DI084,30,41,5,27,3,6,26,9,2,80.9889
31,Point,GT6479046,alwsblwSL,25.01,88.54,NAO046,RJ052,11,27,2,14,3,6,26,46,2,51.9608
204,Point,GT8889023,smtmblwSL,24.45,89.4,SIR023,PA058,30,41,2,27,6,6,44,26,2,76.979
30,Point,GT6475041,alwsblwSL,25.03,88.81,NAO041,RJ055,11,27,2,27,3,6,26,46,2,61.297
246,Point,GT6991013,smtmblwSL,24.61,89.2,NAT013,RJ026,11,41,2,27,3,6,44,46,2,69.6586
101,Point,GT7385026,nvblwSL,25.8,88.95,NIL026,RA-68,30,15,5,27,34,6,26,46,2,86.8684
157,Point,GT1020004,smtmblwSL,24.89,89.34,BOG004,BO003,11,27,3,27,3,6,44,46,2,85.9075
227,Point,GT6447021,smtmblwSL,24.84,88.67,NAO021,RJ063,11,27,3,27,8,6,44,26,2,52.6339
25,Point,GT6450018,alwsblwSL,24.94,88.69,NAO018,RJ058,11,15,2,27,3,6,26,26,2,50.4927
240,Point,GT6941005,smtmblwSL,24.42,89.25,NAT005,RJ089,6,41,2,27,8,10,44,9,2,63.8617
163,Point,GT7639017,smtmblwSL,24.14,89.09,PAB017,PA007,30,41,2,27,8,6,44,46,2,57.9036
24,Point,GT6450017,alwsblwSL,24.93,88.77,NAO017,RJ057,30,41,2,27,3,6,44,46,2,78.5167
173,Point,GT7683032,smtmblwSL,23.86,89.56,PAB032,PA020,6,41,2,27,8,16,44,26,2,77.7122
205,Point,GT8894024,smtmblwSL,24.33,89.45,SIR024,PA005,11,41,2,53,8,16,44,26,2,96.8157
300,Point,GT2764034,smtmblwSL,25.52,88.68,DIN028,DI054,30,41,3,27,3,6,26,26,2,77.4279
167,Point,GT7655022,smtmblwSL,24.08,89.23,PAB022,PA001,6,41,2,27,8,6,44,46,2,59.7543
275,Point,GT1067015,smtmblwSL,24.71,89.22,BOG015,BO015,11,41,2,27,3,6,44,46,2,51.2633
316,Point,GT3847003,smtmblwSL,25.12,89.12,JOY003,BO034,11,41,3,27,3,10,26,15,2,57.5086
288,Point,GT2717501,smtmblwSL,25.59,88.54,DIN501,DIS05,30,27,5,27,3,6,26,26,3,144.217
299,Point,GT2764033,smtmblwSL,25.62,88.7,DIN033,DI052,30,41,5,14,34,6,26,26,3,104.06
270,Point,GT1020007,smtmblwSL,24.86,89.41,BOG007,BO028,30,27,3,27,6,6,44,26,3,163.747
93,Point,GT7336016,nvblwSL,26.0,89.06,NIL016,RA-16,30,41,5,27,34,10,16,26,3,184.276
49,Point,GT2730014,nvblwSL,25.65,88.81,DIN014,DI043,30,27,3,27,34,6,26,26,3,154.636
51,Point,GT2756023,nvblwSL,25.77,88.64,DIN023,DI036,30,41,3,27,28,6,26,15,3,173.837
84,Point,GT7312004,nvblwSL,26.13,89.03,NIL004,RA-10,30,41,8,27,34,10,16,15,3,128.831
191,Point,GT8867013,smtmblwSL,24.14,89.67,SIR013,PA022,30,27,2,27,8,10,44,46,3,121.478
207,Point,GT8894026,smtmblwSL,24.34,89.59,SIR026,PA024,30,41,2,27,8,6,44,26,3,123.839
189,Point,GT8861011,smtmblwSL,24.47,89.59,SIR011,PA062,30,41,2,27,8,6,44,46,3,139.922
187,Point,GT8861009,smtmblwSL,24.52,89.54,SIR009,PA016,30,27,2,27,8,6,44,26,3,130.08
90,Point,GT7315011,nvblwSL,26.04,88.82,NIL011,RA-14,53,27,5,27,34,6,16,46,3,147.057
129,Point,GT9486012,nvblwSL,25.95,88.25,THA012,DI062,30,41,5,27,28,10,16,26,3,199.918
23,Point,GT6450015,alwsblwSL,24.88,88.81,NAO015,RJ018,11,27,2,27,3,6,44,15,3,130.45
274,Point,GT1040012,smtmblwSL,24.87,89.45,BOG012,BO033,30,41,3,27,6,6,26,26,3,190.464
69,Point,GT5233002,nvblwSL,26.11,89.13,LAL002,RA-12,30,41,5,27,34,10,16,26,3,187.634
268,Point,GT1020005,smtmblwSL,24.93,89.39,BOG005,BO017,30,41,3,27,6,6,44,26,3,129.176
121,Point,GT8558008,nvblwSL,25.65,89.25,RAN008,RA-43,30,41,5,27,34,6,26,26,4,217.531
52,Point,GT2760029,nvblwSL,25.9,88.78,DIN029,DI088,30,41,5,27,34,6,16,26,4,242.703
283,Point,GT2712002,smtmblwSL,26.04,88.65,DIN002,DI020,30,27,8,14,28,6,16,15,4,271.646
74,Point,GT5239008,nvblwSL,26.0,89.24,LAL008,RA-82,30,41,5,27,34,6,16,46,4,259.376
313,Point,GT3282013,smtmblwSL,25.41,89.43,GAI013,RA-77,30,41,5,27,34,6,26,15,4,274.567
