FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data,validation point raw data
264,Point,GT7088029,smtmblwSL,24.76,88.12,NAW029,RJ135,30,15,2,27,8,6,26,26,1,28.9217
33,Point,GT6486051,alwsblwSL,25.1,88.57,NAO051,RJ006,11,41,2,14,3,6,26,46,1,43.127
253,Point,GT7066013,smtmblwSL,24.68,88.3,NAW013,RJ074,6,27,2,27,8,10,26,9,1,22.0468
145,Point,GT8134021,smtmblwSL,24.49,88.46,RAJ021,RJ093,11,41,2,27,3,6,26,46,1,17.0863
298,Point,GT2764030,smtmblwSL,25.57,88.67,DIN030,DI034,30,41,5,27,3,6,26,15,1,17.4519
262,Point,GT7088024,smtmblwSL,24.7,88.12,NAW024,RJ107,6,27,2,14,8,10,26,26,1,29.3975
6,Point,GT8172033,alwsblwSL,24.49,88.58,RAJ033,RJ037,53,41,2,27,8,6,26,15,1,44.0364
0,Point,GT8134016,alwsblwSL,24.58,88.41,RAJ016,RJ042,11,27,2,14,3,6,26,46,1,31.9122
38,Point,GT7056006,alwsblwSL,24.68,88.43,NAW006,RJ041,11,27,2,27,3,6,26,46,1,20.5885
27,Point,GT6475037,alwsblwSL,25.04,88.72,NAO037,RJ011,11,27,2,27,3,6,26,46,1,44.0563
19,Point,GT6428007,alwsblwSL,25.17,88.74,NAO007,RJ002,11,41,2,27,3,6,26,15,1,43.1119
266,Point,GT7385027,smtmblwSL,25.78,88.91,NIL027,RA-29,30,41,5,14,34,6,16,26,1,45.2145
5,Point,GT8153031,alwsblwSL,24.58,88.63,RAJ031,RJ028,6,27,2,27,4,16,44,15,1,25.6288
233,Point,GT6475040,smtmblwSL,25.1,88.72,NAO040,RJ054,11,41,2,27,3,6,26,46,1,29.8892
34,Point,GT6486052,alwsblwSL,25.05,88.58,NAO052,RJ050,11,41,2,14,3,6,26,46,1,41.792
13,Point,GT1033009,alwsblwSL,24.89,89.15,BOG009,BO011,11,27,2,27,3,6,26,26,1,42.9509
2,Point,GT8134019,alwsblwSL,24.51,88.32,RAJ019,RJ091,30,41,2,14,3,10,26,26,1,26.0404
18,Point,GT3861005,alwsblwSL,24.98,89.12,JOY005,BO029,11,27,3,14,3,10,26,46,1,10.3281
279,Point,GT1094024,smtmblwSL,24.98,89.26,BOG024,BO006,53,41,3,27,3,6,44,26,1,21.7522
174,Point,GT7683033,smtmblwSL,23.93,89.52,PAB033,PA036,6,27,2,27,8,10,44,26,1,42.5356
101,Point,GT7385026,nvblwSL,25.8,88.95,NIL026,RA-68,30,15,5,27,34,6,26,46,2,86.8684
215,Point,GT3874007,smtmblwSL,25.21,89.14,JOY007,BO022,11,41,2,27,3,6,26,15,2,69.2917
175,Point,GT7683035,smtmblwSL,23.87,89.45,PAB035,PA038,53,41,2,53,18,10,44,26,2,86.9562
227,Point,GT6447021,smtmblwSL,24.84,88.67,NAO021,RJ063,11,27,3,27,8,6,44,26,2,52.6339
170,Point,GT7655027,smtmblwSL,24.01,89.35,PAB027,PA043,6,41,2,27,8,6,44,46,2,61.7752
235,Point,GT6485048,smtmblwSL,24.73,89.03,NAO048,RJ133,30,41,2,27,8,6,44,15,2,53.1058
245,Point,GT6963012,smtmblwSL,24.53,88.99,NAT012,RJ071,6,41,2,53,8,10,44,26,2,66.1887
246,Point,GT6991013,smtmblwSL,24.61,89.2,NAT013,RJ026,11,41,2,27,3,6,44,46,2,69.6586
164,Point,GT7639018,smtmblwSL,24.14,89.15,PAB018,PA030,53,41,2,27,8,6,44,46,2,59.5184
154,Point,GT8182041,smtmblwSL,24.42,88.83,RAJ041,RJ031,11,41,2,27,6,6,44,46,2,71.0168
203,Point,GT8889022,smtmblwSL,24.51,89.38,SIR022,PA026,30,15,2,27,3,6,44,46,2,70.4241
204,Point,GT8889023,smtmblwSL,24.45,89.4,SIR023,PA058,30,41,2,27,6,6,44,26,2,76.979
21,Point,GT6428010,alwsblwSL,25.18,88.85,NAO010,RJ008,11,27,2,27,8,6,26,26,2,53.4987
30,Point,GT6475041,alwsblwSL,25.03,88.81,NAO041,RJ055,11,27,2,27,3,6,26,46,2,61.297
234,Point,GT6479044,smtmblwSL,25.02,88.45,NAO044,RJ012,11,27,2,27,3,6,26,9,2,63.0609
267,Point,GT7605001,smtmblwSL,24.13,89.27,PAB001,PA006,6,27,2,27,8,6,44,15,2,64.159
302,Point,GT2764036,smtmblwSL,25.54,88.73,DIN036,DI064,30,41,3,27,3,6,26,26,2,80.7327
