FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data,validation point raw data
4,Point,GT8153030,alwsblwSL,24.63,88.68,RAJ030,RJ023,11,41,2,27,4,26,26,9,1,35.9774
33,Point,GT6486051,alwsblwSL,25.1,88.57,NAO051,RJ006,11,41,2,14,3,6,26,46,1,43.127
250,Point,GT7037001,smtmblwSL,24.86,88.44,NAW001,RJ016,11,41,2,27,3,6,16,46,1,23.9154
2,Point,GT8134019,alwsblwSL,24.51,88.32,RAJ019,RJ091,30,41,2,14,3,10,26,26,1,26.0404
6,Point,GT8172033,alwsblwSL,24.49,88.58,RAJ033,RJ037,53,41,2,27,8,6,26,15,1,44.0364
266,Point,GT7385027,smtmblwSL,25.78,88.91,NIL027,RA-29,30,41,5,14,34,6,16,26,1,45.2145
8,Point,GT8194048,alwsblwSL,24.57,88.55,RAJ048,RJ086,11,41,2,27,3,10,26,46,1,23.3022
28,Point,GT6475038,alwsblwSL,25.02,88.67,NAO038,RJ013,11,41,2,27,3,6,26,26,1,42.3948
17,Point,GT3861004,alwsblwSL,25.02,89.15,JOY004,BO024,11,41,3,27,3,10,26,46,1,18.8242
298,Point,GT2764030,smtmblwSL,25.57,88.67,DIN030,DI034,30,41,5,27,3,6,26,15,1,17.4519
11,Point,GT1006001,alwsblwSL,24.81,89.08,BOG001,BO010,11,27,2,27,3,6,44,26,1,25.7061
34,Point,GT6486052,alwsblwSL,25.05,88.58,NAO052,RJ050,11,41,2,14,3,6,26,46,1,41.792
257,Point,GT7066018,smtmblwSL,24.51,88.27,NAW018,RJ120,30,41,2,27,18,16,26,15,1,25.5143
26,Point,GT6475036,alwsblwSL,25.05,88.64,NAO036,RJ010,11,41,2,27,3,6,44,26,1,37.4641
36,Point,GT7037003,alwsblwSL,24.93,88.41,NAW003,RJ048,6,41,2,27,3,6,26,15,1,15.5364
260,Point,GT7088022,smtmblwSL,24.64,88.18,NAW022,RJ079,30,27,2,27,8,16,26,26,1,27.3448
0,Point,GT8134016,alwsblwSL,24.58,88.41,RAJ016,RJ042,11,27,2,14,3,6,26,46,1,31.9122
256,Point,GT7066016,smtmblwSL,24.59,88.27,NAW016,RJ109,30,41,2,14,8,16,26,9,1,24.0618
169,Point,GT7655026,smtmblwSL,24.01,89.29,PAB026,PA042,30,41,2,27,8,6,44,46,1,41.9791
251,Point,GT7037004,smtmblwSL,24.85,88.27,NAW004,RJ075,30,41,2,14,8,10,26,9,1,31.5397
220,Point,GT6403001,smtmblwSL,24.66,88.89,NAO001,RJ024,6,27,2,53,4,16,44,15,2,78.9077
24,Point,GT6450017,alwsblwSL,24.93,88.77,NAO017,RJ057,30,41,2,27,3,6,44,46,2,78.5167
245,Point,GT6963012,smtmblwSL,24.53,88.99,NAT012,RJ071,6,41,2,53,8,10,44,26,2,66.1887
21,Point,GT6428010,alwsblwSL,25.18,88.85,NAO010,RJ008,11,27,2,27,8,6,26,26,2,53.4987
237,Point,GT6915002,smtmblwSL,24.25,89.21,NAT002,RJ082,6,41,3,27,8,10,44,15,2,64.4687
239,Point,GT6941001,smtmblwSL,24.39,89.19,NAT001,RJ033,11,41,3,27,8,10,44,46,2,65.2337
14,Point,GT1054013,alwsblwSL,24.86,89.25,BOG013,BO009,11,27,2,27,3,6,44,26,2,56.6939
300,Point,GT2764034,smtmblwSL,25.52,88.68,DIN028,DI054,30,41,3,27,3,6,26,26,2,77.4279
159,Point,GT7605003,smtmblwSL,24.16,89.22,PAB003,PA051,30,41,3,53,8,6,44,26,2,55.7414
164,Point,GT7639018,smtmblwSL,24.14,89.15,PAB018,PA030,53,41,2,27,8,6,44,46,2,59.5184
231,Point,GT6460026,smtmblwSL,24.9,88.9,NAO026,RJ061,30,41,2,27,3,6,44,26,2,84.1913
243,Point,GT6944009,smtmblwSL,24.18,88.98,NAT009,RJ131,30,27,2,27,18,10,44,26,2,59.0863
155,Point,GT8182042,smtmblwSL,24.49,88.88,RAJ042,RJ069,11,41,2,53,8,6,44,15,2,66.9591
204,Point,GT8889023,smtmblwSL,24.45,89.4,SIR023,PA058,30,41,2,27,6,6,44,26,2,76.979
50,Point,GT2730015,nvblwSL,25.76,88.85,DIN015,DI044,30,41,5,27,34,6,26,26,2,86.8478
138,Point,GT8112003,smtmblwSL,24.62,88.8,RAJ003,RJ134,11,41,2,14,4,26,44,26,2,66.1707
205,Point,GT8894024,smtmblwSL,24.33,89.45,SIR024,PA005,11,41,2,53,8,16,44,26,2,96.8157
227,Point,GT6447021,smtmblwSL,24.84,88.67,NAO021,RJ063,11,27,3,27,8,6,44,26,2,52.6339
222,Point,GT6403003,smtmblwSL,24.61,89.0,NAO003,RJ137,6,27,2,27,8,10,44,15,2,71.909
175,Point,GT7683035,smtmblwSL,23.87,89.45,PAB035,PA038,53,41,2,53,18,10,44,26,2,86.9562
25,Point,GT6450018,alwsblwSL,24.94,88.69,NAO018,RJ058,11,15,2,27,3,6,26,26,2,50.4927
224,Point,GT6406005,smtmblwSL,24.92,88.96,NAO005,RJ060,30,41,2,27,8,10,44,26,2,63.3288
244,Point,GT6944010,smtmblwSL,24.21,89.0,NAT010,RJ132,30,41,2,27,8,6,44,26,2,60.8443
30,Point,GT6475041,alwsblwSL,25.03,88.81,NAO041,RJ055,11,27,2,27,3,6,26,46,2,61.297
302,Point,GT2764036,smtmblwSL,25.54,88.73,DIN036,DI064,30,41,3,27,3,6,26,26,2,80.7327
97,Point,GT7336020,nvblwSL,26.0,89.01,NIL020,RA-60,30,41,5,27,34,6,16,46,3,199.745
290,Point,GT2730012,smtmblwSL,25.7,88.78,DIN012,DI041,30,27,5,27,34,6,26,26,3,173.141
268,Point,GT1020005,smtmblwSL,24.93,89.39,BOG005,BO017,30,41,3,27,6,6,44,26,3,129.176
42,Point,GT1095026,nvblwSL,25.01,89.49,BOG026,BO004,6,41,3,27,8,6,44,15,3,179.314
191,Point,GT8867013,smtmblwSL,24.14,89.67,SIR013,PA022,30,27,2,27,8,10,44,46,3,121.478
187,Point,GT8861009,smtmblwSL,24.52,89.54,SIR009,PA016,30,27,2,27,8,6,44,26,3,130.08
156,Point,GT1006002,smtmblwSL,24.81,89.0,BOG002,BO016,30,41,2,27,3,10,44,15,3,118.087
188,Point,GT8861010,smtmblwSL,24.47,89.5,SIR010,PA045,30,41,2,27,8,6,44,26,3,112.469
161,Point,GT7616007,smtmblwSL,23.87,89.64,PAB007,PA040,30,27,2,27,18,16,44,9,3,129.174
51,Point,GT2756023,nvblwSL,25.77,88.64,DIN023,DI036,30,41,3,27,28,6,26,15,3,173.837
270,Point,GT1020007,smtmblwSL,24.86,89.41,BOG007,BO028,30,27,3,27,6,6,44,26,3,163.747
90,Point,GT7315011,nvblwSL,26.04,88.82,NIL011,RA-14,53,27,5,27,34,6,16,46,3,147.057
206,Point,GT8894025,smtmblwSL,24.31,89.51,SIR025,PA023,11,41,2,27,8,10,44,15,3,105.308
294,Point,GT2743019,smtmblwSL,25.29,89.23,DIN019,DI090,11,27,2,27,3,6,26,26,3,182.297
111,Point,GT7734012,nvblwSL,26.1,88.73,PAN012,DI032,30,41,8,14,28,6,16,26,3,171.781
65,Point,GT4952004,nvblwSL,25.77,89.63,KUR004,RA-65,11,41,5,27,34,6,26,15,3,190.167
23,Point,GT6450015,alwsblwSL,24.88,88.81,NAO015,RJ018,11,27,2,27,3,6,44,15,3,130.45
178,Point,GT7773014,smtmblwSL,26.41,88.65,PAN014,DI076,53,27,8,27,28,6,10,46,4,277.244
109,Point,GT7734010,nvblwSL,26.16,88.71,PAN010,DI030,30,27,8,27,28,6,16,15,4,229.995
196,Point,GT9494015,smtmblwSL,26.15,88.55,THA015,DI011,30,41,8,14,28,6,10,46,4,241.01
198,Point,GT9494020,smtmblwSL,26.08,88.37,THA020,DI021,30,27,8,14,28,6,10,46,4,293.496
75,Point,GT5255009,nvblwSL,25.94,89.49,LAL009,RA-32,30,41,5,27,34,10,26,15,4,246.833
