FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data,validation point raw data
257,Point,GT7066018,smtmblwSL,24.51,88.27,NAW018,RJ120,30,41,2,27,18,16,26,15,1,25.5143
261,Point,GT7088023,smtmblwSL,24.61,88.13,NAW023,RJ106,30,27,2,14,18,42,44,26,1,27.5292
258,Point,GT7088020,smtmblwSL,24.84,88.19,NAW020,RJ076,30,41,2,27,8,10,26,26,1,29.8323
259,Point,GT7088021,smtmblwSL,24.68,88.22,NAW021,RJ078,6,41,2,14,6,6,44,26,1,27.0271
317,Point,GT3874006,smtmblwSL,25.23,89.07,JOY006,BO008,11,27,2,27,3,6,26,26,1,24.6121
32,Point,GT6485047,alwsblwSL,24.69,89.07,NAO047,RJ022,30,27,2,27,3,6,44,46,1,39.1403
278,Point,GT1088023,smtmblwSL,24.68,89.38,BOG023,BO035,11,41,2,27,3,6,26,46,1,40.674
260,Point,GT7088022,smtmblwSL,24.64,88.18,NAW022,RJ079,30,27,2,27,8,16,26,26,1,27.3448
250,Point,GT7037001,smtmblwSL,24.86,88.44,NAW001,RJ016,11,41,2,27,3,6,16,46,1,23.9154
144,Point,GT8134017,smtmblwSL,24.4,88.43,RAJ017,RJ080,30,41,2,27,18,10,26,26,1,44.2129
12,Point,GT1006003,alwsblwSL,24.77,89.12,BOG003,BO030,11,27,2,27,3,6,44,15,1,16.3635
40,Point,GT7056009,alwsblwSL,24.8,88.39,NAW009,RJ046,11,15,2,27,3,6,16,46,1,18.6586
9,Point,GT8194049,alwsblwSL,24.63,88.58,RAJ049,RJ136,11,41,2,27,3,16,26,15,1,12.9655
36,Point,GT7037003,alwsblwSL,24.93,88.41,NAW003,RJ048,6,41,2,27,3,6,26,15,1,15.5364
255,Point,GT7066015,smtmblwSL,24.49,88.23,NAW015,RJ100,30,41,2,27,18,16,26,26,1,25.8835
4,Point,GT8153030,alwsblwSL,24.63,88.68,RAJ030,RJ023,11,41,2,27,4,26,26,9,1,35.9774
266,Point,GT7385027,smtmblwSL,25.78,88.91,NIL027,RA-29,30,41,5,14,34,6,16,26,1,45.2145
