FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data,validation point raw data
216,Point,GT3874008,smtmblwSL,25.23,89.01,JOY008,BO032,30,27,2,27,8,6,26,26,1,38.3941
315,Point,GT3847002,smtmblwSL,25.13,88.98,JOY002,BO023,30,41,3,27,8,6,26,26,1,42.8086
12,Point,GT1006003,alwsblwSL,24.77,89.12,BOG003,BO030,11,27,2,27,3,6,44,15,1,16.3635
254,Point,GT7066014,smtmblwSL,24.56,88.16,NAW014,RJ077,30,27,2,14,18,26,44,26,1,26.3961
11,Point,GT1006001,alwsblwSL,24.81,89.08,BOG001,BO010,11,27,2,27,3,6,44,26,1,25.7061
32,Point,GT6485047,alwsblwSL,24.69,89.07,NAO047,RJ022,30,27,2,27,3,6,44,46,1,39.1403
169,Point,GT7655026,smtmblwSL,24.01,89.29,PAB026,PA042,30,41,2,27,8,6,44,46,1,41.9791
33,Point,GT6486051,alwsblwSL,25.1,88.57,NAO051,RJ006,11,41,2,14,3,6,26,46,1,43.127
4,Point,GT8153030,alwsblwSL,24.63,88.68,RAJ030,RJ023,11,41,2,27,4,26,26,9,1,35.9774
29,Point,GT6475039,alwsblwSL,25.16,88.62,NAO039,RJ051,11,27,2,14,3,6,16,46,1,43.4586
17,Point,GT3861004,alwsblwSL,25.02,89.15,JOY004,BO024,11,41,3,27,3,10,26,46,1,18.8242
8,Point,GT8194048,alwsblwSL,24.57,88.55,RAJ048,RJ086,11,41,2,27,3,10,26,46,1,23.3022
259,Point,GT7088021,smtmblwSL,24.68,88.22,NAW021,RJ078,6,41,2,14,6,6,44,26,1,27.0271
28,Point,GT6475038,alwsblwSL,25.02,88.67,NAO038,RJ013,11,41,2,27,3,6,26,26,1,42.3948
15,Point,GT1054014,alwsblwSL,24.79,89.26,BOG014,BO014,30,27,2,27,3,6,26,26,1,42.9469
34,Point,GT6486052,alwsblwSL,25.05,88.58,NAO052,RJ050,11,41,2,14,3,6,26,46,1,41.792
278,Point,GT1088023,smtmblwSL,24.68,89.38,BOG023,BO035,11,41,2,27,3,6,26,46,1,40.674
3,Point,GT8134020,alwsblwSL,24.52,88.38,RAJ020,RJ092,30,41,2,27,3,6,26,46,1,26.1104
